text,label
"La mujer soñada.asi 
Toda  con todo en su lugar.
Buenos días
Feliz #Viernes 
#22Mar 
Dale #Repost",0
Según #primark este pantalón es una #XXL . ¿Por qué engañan con las tallas? Así solo se fomenta,1
Al fin me he animado a abrir esta cuenta para poder explayarme,1
"Lubina con brócoli al vapor y ensalada para compartir
Comer mucha verdura nunca es un problema
No os quedéis con hambre
#lowcarbdiet #alimentacionsaludable  … https://www.instagram.com/p/BvKbO8-ngQO/?utm_source=ig_twitter_share&igshid=13x13fjz3ox94 …",0
SOY GILIPOLLAS Y ME HE DADO UN ATRACÓN. MATARME.  #soygilipollas #killme,1
Hago grupo de ana y mia alguien? #anorexia #ana #mia  #bulemia,1
Si no existiera la dominación el canon de belleza no sería #thinspo o  pero socialmente las delgadas son las bellas.,1
"Al mal tiempo, camarones salteados 

#omega3 #saludable #nutricion   #perdergrasa #perderpeso #comidasana #eatclean #eatingclean #weightlose #paleo #healthy https://www.instagram.com/p/BsI-2iWhYcn/?utm_source=ig_twitter_share&igshid=mh9wmvbkg3iv …",0
"Hola chicas, estoy con ustedes aqui de nuevo sin vuelta atras",1
13 kilitos menos y aumentando músculo...  #legday #fit  #smile #happy en Anytime Fitness Montejo https://www.instagram.com/p/BvGmxVYAnMd/?utm_source=ig_twitter_share&igshid=aah6cz79litg …,0
"Pues no, no entran en el concepto de",0
"#el #estofado #de #mi #mami #y #su #pan #casero #love #foodporn  en Neuquén, Argentina https://www.instagram.com/p/BpIzE_Pnnvm/?utm_source=ig_twitter_share&igshid=1b0o1vm6p6ytk …",0
El tamaño de mi frío no se compara con el tamaño de mis piernas #thinspo  #thinspiration,1
Cómo bajar de peso efectivamente: fracturarse una muela  #princesstips  #beauty #thinkthin,1
Hoy empece mi dieta hipocalorica de frutas y verduras..  #dieta #fat,1
Llegar a la perfeccion,1
